Clave Estado-Municipio,Clave Estado,Clave Municipio,Estado,Municipio,Grado de Rezago Social 2015,Población 2015,Ranking nacional
9-4,9,4,Distrito Federal,Cuajimalpa de Morelos,Muy bajo,199224,2421
9-5,9,5,Distrito Federal,Gustavo A. Madero,Muy bajo,1164477,2417
9-6,9,6,Distrito Federal,Iztacalco,Muy bajo,390348,2438
9-7,9,7,Distrito Federal,Iztapalapa,Muy bajo,1827868,2401
9-8,9,8,Distrito Federal,La Magdalena Contreras,Muy bajo,243886,2396
9-9,9,9,Distrito Federal,Milpa Alta,Bajo,137927,1979
9-3,9,3,Distrito Federal,Coyoacán,Muy bajo,608479,2442
9-11,9,11,Distrito Federal,Tláhuac,Muy bajo,361593,2380
9-13,9,13,Distrito Federal,Xochimilco,Muy bajo,415933,2310
9-14,9,14,Distrito Federal,Benito Juárez,Muy bajo,417416,2446
9-15,9,15,Distrito Federal,Cuauhtémoc,Muy bajo,532553,2436
9-16,9,16,Distrito Federal,Miguel Hidalgo,Muy bajo,364439,2444
9-17,9,17,Distrito Federal,Venustiano Carranza,Muy bajo,427263,2432
9-12,9,12,Distrito Federal,Tlalpan,Muy bajo,677104,2420
8-25,8,25,Chihuahua,Gómez Farías,Muy bajo,8905,2173
8-18,8,18,Chihuahua,Cusihuiriachi,Bajo,4594,1391
8-19,8,19,Chihuahua,Chihuahua,Muy bajo,878062,2434
8-20,8,20,Chihuahua,Chínipas,Alto,7501,268
8-21,8,21,Chihuahua,Delicias,Muy bajo,148045,2408
8-22,8,22,Chihuahua,Dr. Belisario Domínguez,Bajo,2491,1871
8-24,8,24,Chihuahua,Santa Isabel,ND ,4099,ND 
8-28,8,28,Chihuahua,Guadalupe,Bajo,5272,2080
8-26,8,26,Chihuahua,Gran Morelos,Bajo,2466,1760
8-27,8,27,Chihuahua,Guachochi,Muy alto,45544,34
8-16,8,16,Chihuahua,La Cruz,Muy bajo,3861,2271
8-29,8,29,Chihuahua,Guadalupe y Calvo,Muy alto,56130,35
8-30,8,30,Chihuahua,Guazapares,Alto,7429,205
8-31,8,31,Chihuahua,Guerrero,Bajo,39064,1354
8-32,8,32,Chihuahua,Hidalgo del Parral,Muy bajo,109510,2365
8-17,8,17,Chihuahua,Cuauhtémoc,Muy bajo,168482,2244
8-13,8,13,Chihuahua,Casas Grandes,Bajo,11432,2035
8-15,8,15,Chihuahua,Coyame del Sotol,Bajo,1684,1394
8-14,8,14,Chihuahua,Coronado,Muy bajo,2096,2171
8-12,8,12,Chihuahua,Carichí,ND ,9211,ND 
8-11,8,11,Chihuahua,Camargo,Muy bajo,51572,2333
8-10,8,10,Chihuahua,Buenaventura,ND ,23438,ND 
8-9,8,9,Chihuahua,Bocoyna,Alto,27909,296
8-8,8,8,Chihuahua,Batopilas,Muy alto,11289,1
8-7,8,7,Chihuahua,Balleza,Muy alto,16824,42
8-6,8,6,Chihuahua,Bachíniva,Bajo,6156,1857
8-5,8,5,Chihuahua,Ascensión,Bajo,24966,1888
8-4,8,4,Chihuahua,Aquiles Serdán,Muy bajo,15516,2350
8-3,8,3,Chihuahua,Allende,Muy bajo,8751,2217
8-2,8,2,Chihuahua,Aldama,Muy bajo,24761,2312
8-1,8,1,Chihuahua,Ahumada,Bajo,12568,2026
8-34,8,34,Chihuahua,Ignacio Zaragoza,Bajo,6903,2040
8-33,8,33,Chihuahua,Huejotitán,Bajo,952,1597
8-23,8,23,Chihuahua,Galeana,Bajo,6021,1716
8-35,8,35,Chihuahua,Janos,Bajo,10974,1614
8-60,8,60,Chihuahua,Santa Bárbara,Muy bajo,10721,2337
8-54,8,54,Chihuahua,Riva Palacio,Medio,7969,1026
8-55,8,55,Chihuahua,Rosales,Muy bajo,16896,2183
8-56,8,56,Chihuahua,Rosario,Bajo,2018,1552
8-57,8,57,Chihuahua,San Francisco de Borja,Bajo,2136,1402
8-58,8,58,Chihuahua,San Francisco de Conchos,Muy bajo,2471,2280
8-59,8,59,Chihuahua,San Francisco del Oro,Muy bajo,5086,2125
8-61,8,61,Chihuahua,Satevó,Bajo,3159,1882
8-52,8,52,Chihuahua,Ojinaga,Muy bajo,28040,2225
8-62,8,62,Chihuahua,Saucillo,Muy bajo,31196,2321
8-63,8,63,Chihuahua,Temósachic,ND ,6425,ND 
8-64,8,64,Chihuahua,El Tule,Medio,1697,1306
8-66,8,66,Chihuahua,Uruachi,Muy alto,6094,81
8-67,8,67,Chihuahua,Valle de Zaragoza,Bajo,5199,1810
8-36,8,36,Chihuahua,Jiménez,Muy bajo,42860,2295
8-53,8,53,Chihuahua,Praxedis G. Guerrero,Bajo,5486,1929
8-65,8,65,Chihuahua,Urique,ND ,20947,ND 
8-51,8,51,Chihuahua,Ocampo,Medio,7569,921
8-44,8,44,Chihuahua,Matamoros,Bajo,4371,2085
8-50,8,50,Chihuahua,Nuevo Casas Grandes,Muy bajo,63412,2378
8-38,8,38,Chihuahua,Julimes,Bajo,4448,2015
8-40,8,40,Chihuahua,Madera,Bajo,29233,1593
8-41,8,41,Chihuahua,Maguarichi,Muy alto,1593,70
8-42,8,42,Chihuahua,Manuel Benavides,Bajo,1403,1444
8-43,8,43,Chihuahua,Matachí,Bajo,2961,1886
8-39,8,39,Chihuahua,López,Muy bajo,4007,2179
8-45,8,45,Chihuahua,Meoqui,Muy bajo,44752,2235
8-48,8,48,Chihuahua,Namiquipa,Bajo,23255,1978
8-49,8,49,Chihuahua,Nonoava,Medio,2574,987
8-37,8,37,Chihuahua,Juárez,Muy bajo,1391180,2373
8-47,8,47,Chihuahua,Moris,Alto,5141,553
8-46,8,46,Chihuahua,Morelos,Muy alto,7797,28
7-33,7,33,Chiapas,Francisco León,Alto,7430,560
7-45,7,45,Chiapas,Ixtapangajoya,Alto,5384,579
7-34,7,34,Chiapas,Frontera Comalapa,Medio,73436,1074
7-35,7,35,Chiapas,Frontera Hidalgo,Medio,14416,904
7-36,7,36,Chiapas,La Grandeza,Alto,7057,561
7-32,7,32,Chiapas,Escuintla,Medio,31822,1043
7-38,7,38,Chiapas,Huixtán,Alto,23625,177
7-39,7,39,Chiapas,Huitiupán,Alto,23172,272
7-40,7,40,Chiapas,Huixtla,Medio,54332,1090
7-41,7,41,Chiapas,La Independencia,Alto,44891,460
7-42,7,42,Chiapas,Ixhuatán,Medio,11342,785
7-43,7,43,Chiapas,Ixtacomitán,Medio,10772,769
7-44,7,44,Chiapas,Ixtapa,Alto,27198,720
7-37,7,37,Chiapas,Huehuetán,Medio,35017,788
7-50,7,50,Chiapas,La Libertad,Bajo,4915,1359
7-1,7,1,Chiapas,Acacoyagua,Medio,18082,1126
7-46,7,46,Chiapas,Jiquipilas,Medio,39109,1150
7-47,7,47,Chiapas,Jitotol,Alto,20606,596
7-48,7,48,Chiapas,Juárez,Medio,21222,1328
7-49,7,49,Chiapas,Larráinzar,Alto,23889,269
7-51,7,51,Chiapas,Mapastepec,Medio,47932,1167
7-52,7,52,Chiapas,Las Margaritas,Alto,122821,198
7-53,7,53,Chiapas,Mazapa de Madero,Medio,7769,867
7-54,7,54,Chiapas,Mazatán,Alto,29239,725
7-55,7,55,Chiapas,Metapa,Bajo,5743,1373
7-56,7,56,Chiapas,Mitontic,Muy alto,11906,23
7-30,7,30,Chiapas,Chicomuselo,Alto,34744,731
7-57,7,57,Chiapas,Motozintla,Medio,72967,939
7-31,7,31,Chiapas,Chilón,Muy alto,127914,99
7-14,7,14,Chiapas,El Bosque,Alto,22606,293
7-29,7,29,Chiapas,Chicoasén,Bajo,5000,1423
7-13,7,13,Chiapas,Bochil,Alto,34997,657
7-59,7,59,Chiapas,Ocosingo,Alto,218893,276
7-2,7,2,Chiapas,Acala,Medio,31424,1095
7-3,7,3,Chiapas,Acapetahua,Medio,28380,869
7-4,7,4,Chiapas,Altamirano,Alto,32872,204
7-5,7,5,Chiapas,Amatán,Alto,19348,315
7-6,7,6,Chiapas,Amatenango de la Frontera,Medio,30732,846
7-7,7,7,Chiapas,Amatenango del Valle,Muy alto,9913,108
7-8,7,8,Chiapas,Angel Albino Corzo,Alto,28162,689
7-9,7,9,Chiapas,Arriaga,Bajo,40114,1500
7-10,7,10,Chiapas,Bejucal de Ocampo,Alto,7494,418
7-11,7,11,Chiapas,Bella Vista,Alto,20142,599
7-12,7,12,Chiapas,Berriozábal,Medio,51722,947
7-15,7,15,Chiapas,Cacahoatán,Medio,45594,1141
7-28,7,28,Chiapas,Chiapilla,Medio,5899,806
7-16,7,16,Chiapas,Catazajá,Medio,17065,1020
7-17,7,17,Chiapas,Cintalapa,Medio,84455,1261
7-18,7,18,Chiapas,Coapilla,Alto,9210,660
7-19,7,19,Chiapas,Comitán de Domínguez,Medio,153448,1169
7-20,7,20,Chiapas,La Concordia,Alto,46405,659
7-21,7,21,Chiapas,Copainalá,Medio,21800,959
7-22,7,22,Chiapas,Chalchihuitán,Muy alto,16803,8
7-23,7,23,Chiapas,Chamula,Muy alto,87332,31
7-24,7,24,Chiapas,Chanal,Muy alto,12181,69
7-25,7,25,Chiapas,Chapultenango,Alto,7644,615
7-26,7,26,Chiapas,Chenalhó,Muy alto,39648,44
7-27,7,27,Chiapas,Chiapa de Corzo,Bajo,100751,1412
7-58,7,58,Chiapas,Nicolás Ruíz,Alto,4262,734
7-74,7,74,Chiapas,Reforma,Bajo,45104,1960
7-60,7,60,Chiapas,Ocotepec,Alto,12508,212
7-107,7,107,Chiapas,Villa Corzo,Medio,79003,829
7-94,7,94,Chiapas,Teopisca,Alto,43175,309
7-96,7,96,Chiapas,Tila,Alto,77554,252
7-97,7,97,Chiapas,Tonalá,Bajo,89178,1497
7-98,7,98,Chiapas,Totolapa,Alto,7284,507
7-99,7,99,Chiapas,La Trinitaria,Alto,76917,567
7-100,7,100,Chiapas,Tumbalá,Muy alto,34305,170
7-101,7,101,Chiapas,Tuxtla Gutiérrez,Muy bajo,598710,2190
7-102,7,102,Chiapas,Tuxtla Chico,Medio,41823,1015
7-103,7,103,Chiapas,Tuzantán,Medio,31755,953
7-104,7,104,Chiapas,Tzimol,Medio,15316,828
7-105,7,105,Chiapas,Unión Juárez,Medio,15350,1058
7-106,7,106,Chiapas,Venustiano Carranza,Medio,65009,779
7-108,7,108,Chiapas,Villaflores,Medio,104833,1244
7-91,7,91,Chiapas,Tapilula,Medio,12887,1123
7-109,7,109,Chiapas,Yajalón,Alto,37833,267
7-110,7,110,Chiapas,San Lucas,Alto,7202,530
7-111,7,111,Chiapas,Zinacantán,Muy alto,41112,96
7-112,7,112,Chiapas,San Juan Cancuc,Muy alto,34829,19
7-113,7,113,Chiapas,Aldama,Alto,6712,228
7-114,7,114,Chiapas,Benemérito de las Américas,Alto,20193,585
7-115,7,115,Chiapas,Maravilla Tenejapa,Muy alto,12945,164
7-116,7,116,Chiapas,Marqués de Comillas,Alto,11444,398
7-117,7,117,Chiapas,Montecristo de Guerrero,Alto,7682,681
7-118,7,118,Chiapas,San Andrés Duraznal,Alto,5163,307
7-119,7,119,Chiapas,Santiago el Pinar,Muy alto,3684,157
7-61,7,61,Chiapas,Ocozocoautla de Espinosa,Medio,92103,821
7-93,7,93,Chiapas,Tenejapa,Alto,43593,184
7-92,7,92,Chiapas,Tecpatán,Alto,41305,728
7-90,7,90,Chiapas,Tapalapa,Alto,3839,635
7-76,7,76,Chiapas,Sabanilla,Alto,26921,229
7-62,7,62,Chiapas,Ostuacán,Alto,18128,738
7-63,7,63,Chiapas,Osumacinta,Bajo,3682,1461
7-64,7,64,Chiapas,Oxchuc,Muy alto,48126,22
7-65,7,65,Chiapas,Palenque,Medio,119826,944
7-66,7,66,Chiapas,Pantelhó,Muy alto,22011,32
7-67,7,67,Chiapas,Pantepec,Alto,12136,375
7-68,7,68,Chiapas,Pichucalco,Medio,31107,1098
7-69,7,69,Chiapas,Pijijiapan,Medio,53525,1065
7-70,7,70,Chiapas,El Porvenir,Alto,14121,695
7-71,7,71,Chiapas,Villa Comaltitlán,Medio,28961,842
7-72,7,72,Chiapas,Pueblo Nuevo Solistahuacán,Alto,31942,333
7-73,7,73,Chiapas,Rayón,Alto,9578,492
7-75,7,75,Chiapas,Las Rosas,Alto,28261,311
7-77,7,77,Chiapas,Salto de Agua,Alto,63446,409
7-83,7,83,Chiapas,Socoltenango,Medio,18539,868
7-89,7,89,Chiapas,Tapachula,Bajo,348156,1685
7-88,7,88,Chiapas,Sunuapa,Medio,2283,816
7-87,7,87,Chiapas,Suchiate,Medio,38797,743
7-86,7,86,Chiapas,Suchiapa,Medio,24049,1298
7-84,7,84,Chiapas,Solosuchiapa,Alto,8082,642
7-85,7,85,Chiapas,Soyaló,Medio,10707,882
7-82,7,82,Chiapas,Sitalá,Muy alto,13844,9
7-81,7,81,Chiapas,Simojovel,Alto,44295,241
7-80,7,80,Chiapas,Siltepec,Alto,35192,623
7-79,7,79,Chiapas,San Fernando,Medio,39204,937
7-78,7,78,Chiapas,San Cristóbal de las Casas,Medio,209591,1305
6-6,6,6,Colima,Ixtlahuacán,Bajo,5527,1656
6-1,6,1,Colima,Armería,Bajo,29599,1547
6-2,6,2,Colima,Colima,Muy bajo,150673,2326
6-4,6,4,Colima,Coquimatlán,Bajo,20198,1922
6-5,6,5,Colima,Cuauhtémoc,Muy bajo,30198,2240
6-3,6,3,Colima,Comala,Bajo,21544,1846
6-7,6,7,Colima,Manzanillo,Muy bajo,184541,2253
6-9,6,9,Colima,Tecomán,Bajo,123191,1583
6-10,6,10,Colima,Villa de Álvarez,Muy bajo,136779,2411
6-8,6,8,Colima,Minatitlán,Bajo,8985,1902
5-10,5,10,Coahuila,Frontera,Muy bajo,80991,2392
5-18,5,18,Coahuila,Monclova,Muy bajo,231107,2426
5-17,5,17,Coahuila,Matamoros,Muy bajo,108950,2226
5-16,5,16,Coahuila,Lamadrid,Muy bajo,1773,2264
5-15,5,15,Coahuila,Juárez,Muy bajo,1574,2116
5-14,5,14,Coahuila,Jiménez,Bajo,10243,1539
5-13,5,13,Coahuila,Hidalgo,Bajo,1565,1991
5-12,5,12,Coahuila,Guerrero,Bajo,1697,1854
5-11,5,11,Coahuila,General Cepeda,Bajo,12471,1869
5-8,5,8,Coahuila,Escobedo,Bajo,3077,2029
5-20,5,20,Coahuila,Múzquiz,Muy bajo,69102,2210
5-7,5,7,Coahuila,Cuatro Ciénegas,Bajo,13546,1822
5-6,5,6,Coahuila,Castaños,Muy bajo,28068,2305
5-5,5,5,Coahuila,Candela,Bajo,1720,1947
5-4,5,4,Coahuila,Arteaga,Bajo,23271,2024
5-3,5,3,Coahuila,Allende,Muy bajo,22654,2385
5-2,5,2,Coahuila,Acuña,Muy bajo,147809,2267
5-1,5,1,Coahuila,Abasolo,Muy bajo,1015,2237
5-19,5,19,Coahuila,Morelos,Muy bajo,8599,2311
5-9,5,9,Coahuila,Francisco I. Madero,Muy bajo,58360,2137
5-21,5,21,Coahuila,Nadadores,Muy bajo,6614,2338
5-31,5,31,Coahuila,San Buenaventura,Muy bajo,23587,2419
5-22,5,22,Coahuila,Nava,Muy bajo,30698,2268
5-38,5,38,Coahuila,Zaragoza,Muy bajo,13257,2204
5-37,5,37,Coahuila,Villa Unión,Muy bajo,6352,2247
5-36,5,36,Coahuila,Viesca,Bajo,21549,1695
5-35,5,35,Coahuila,Torreón,Muy bajo,679288,2407
5-34,5,34,Coahuila,Sierra Mojada,Bajo,6988,2092
5-32,5,32,Coahuila,San Juan de Sabinas,Muy bajo,43232,2348
5-33,5,33,Coahuila,San Pedro,Bajo,106142,2019
5-30,5,30,Coahuila,Saltillo,Muy bajo,807537,2427
5-29,5,29,Coahuila,Sacramento,Muy bajo,2360,2252
5-28,5,28,Coahuila,Sabinas,Muy bajo,63522,2359
5-27,5,27,Coahuila,Ramos Arizpe,Muy bajo,92828,2379
5-26,5,26,Coahuila,Progreso,Bajo,3304,2063
5-25,5,25,Coahuila,Piedras Negras,Muy bajo,163595,2345
5-24,5,24,Coahuila,Parras,Bajo,44799,2091
5-23,5,23,Coahuila,Ocampo,Bajo,11671,1632
4-6,4,6,Campeche,Hopelchén,Medio,40100,844
4-1,4,1,Campeche,Calkiní,Bajo,56537,1472
4-2,4,2,Campeche,Campeche,Muy bajo,283025,2318
4-3,4,3,Campeche,Carmen,Bajo,248303,2076
4-4,4,4,Campeche,Champotón,Bajo,90244,1487
4-5,4,5,Campeche,Hecelchakán,Bajo,31230,1430
4-8,4,8,Campeche,Tenabo,Bajo,10665,1426
4-7,4,7,Campeche,Palizada,Bajo,8971,1496
4-10,4,10,Campeche,Calakmul,Alto,28424,628
4-11,4,11,Campeche,Candelaria,Alto,43879,576
4-9,4,9,Campeche,Escárcega,Bajo,58553,1456
3-3,3,3,Baja California Sur,La Paz,Muy bajo,272711,2317
3-2,3,2,Baja California Sur,Mulegé,Bajo,60171,1676
3-1,3,1,Baja California Sur,Comondú,Bajo,72564,1836
3-8,3,8,Baja California Sur,Los Cabos,Bajo,287671,2008
3-9,3,9,Baja California Sur,Loreto,Bajo,18912,1959
2-5,2,5,Baja California,Playas de Rosarito,Muy bajo,96734,2141
2-4,2,4,Baja California,Tijuana,Muy bajo,1641570,2332
2-3,2,3,Baja California,Tecate,Muy bajo,102406,2200
2-2,2,2,Baja California,Mexicali,Muy bajo,988417,2381
2-1,2,1,Baja California,Ensenada,Bajo,486639,2082
1-7,1,7,Aguascalientes,Rincón de Romos,Muy bajo,53866,2241
1-3,1,3,Aguascalientes,Calvillo,Bajo,56048,2077
1-4,1,4,Aguascalientes,Cosío,Muy bajo,15577,2164
1-5,1,5,Aguascalientes,Jesús María,Muy bajo,120405,2286
1-6,1,6,Aguascalientes,Pabellón de Arteaga,Muy bajo,46473,2293
1-2,1,2,Aguascalientes,Asientos,Bajo,46464,1950
1-8,1,8,Aguascalientes,San José de Gracia,Bajo,8896,2093
1-9,1,9,Aguascalientes,Tepezalá,Bajo,20926,2050
1-10,1,10,Aguascalientes,El Llano,Bajo,20245,1835
1-11,1,11,Aguascalientes,San Francisco de los Romo,Muy bajo,46454,2277
1-1,1,1,Aguascalientes,Aguascalientes,Muy bajo,877190,2397
nan-nan,nan,nan,,,,nan,
nan-nan,nan,nan,,,,nan,
nan-nan,nan,nan,,,,nan,
nan-nan,nan,nan,,,,nan,
